id,full_name,display_name,abbreviation,successor_to,continent,active,defunct,affiliated,has_members,profile
215,Switzerland,Switzerland,SUI,,Europe,1,0,1,0,
216,Syria,Syria,SYR,,Asia,1,0,1,0,
217,French Polynesia,Tahiti,TAH,,Oceania,1,0,1,0,
218,Taiwan,Chinese Taipei,TPE,,Asia,1,0,1,0,
219,Tajikistan,Tajikistan,TJK,,Asia,1,0,1,0,
220,Tanzania,Tanzania,TAN,,Africa,1,0,1,0,
221,Thailand,Thailand,THA,,Asia,1,0,1,0,
222,Timor Leste,Timor Leste,TLS,,Asia,1,0,1,0,
223,Togo,Togo,TOG,,Africa,1,0,1,0,
224,Tokelau,Tokelau,TOK,,Oceania,0,0,0,0,
225,Tonga,Tonga,TON,,Oceania,1,0,1,0,
226,Transnistria,Transnistria,TRN,,Europe,0,0,0,0,
227,Trinidad and Tobago,Trinidad and Tobago,TRI,,North America,1,0,1,0,
228,Tunisia,Tunisia,TUN,,Africa,1,0,1,0,
229,Turkey,Turkey,TUR,,Europe,1,0,1,0,
230,Turkmenistan,Turkmenistan,TKM,,Asia,1,0,1,0,
231,Turks and Caicos Islands,Turks and Caicos Is.,TCI,,North America,1,0,1,0,
232,Tuvalu,Tuvalu,TUV,,Oceania,1,0,1,0,
233,US Virgin Islands,US Virgin Islands,ISV,,North America,1,0,1,0,
234,Uganda,Uganda,UGA,,Africa,1,0,1,0,
235,Ukraine,Ukraine,UKR,,Europe,1,0,1,0,
236,United Arab Emirates,United Arab Emirates,UAE,,Asia,1,0,1,0,
237,United States of America,United States,USA,,North America,1,0,1,0,
238,Uruguay,Uruguay,URU,,South America,1,0,1,0,
239,Uzbekistan,Uzbekistan,UZB,,Asia,1,0,1,0,
240,Vanuatu,Vanuatu,VAN,,Oceania,1,0,1,0,
241,Vatican City,Vatican City,VAT,,Europe,0,0,0,0,
242,Venezuela,Venezuela,VEN,,South America,1,0,1,0,
243,Vietnam,Vietnam,VIE,,Asia,1,0,1,0,
244,Wales,Wales,WAL,,Europe,1,0,1,0,
245,Wallis and Futuna,Wallis and Futuna,WAF,,Oceania,0,0,0,0,
246,Western Sahara,Western Sahara,WSA,,Africa,0,0,0,0,
247,Yemen,Yemen,YEM,,Asia,1,0,1,0,
248,Zambia,Zambia,ZAM,,Africa,1,0,1,0,
249,Zanzibar,Zanzibar,ZAN,,Africa,0,0,0,0,
250,Zimbabwe,Zimbabwe,ZIM,,Africa,1,0,1,0,
251,Czechoslovakia,Czechoslovakia,TCH,,Europe,1,1,0,0,
252,Federal Republic of Germany,West Germany,FRG,,Europe,0,1,0,0,
253,German Democratic Republic,East Germany,GDR,,Europe,1,1,0,0,
254,Netherlands Antilles,Netherlands Antilles,AHO,,North America,1,1,0,0,
255,Saar Protectorate,Saar,SAA,,Europe,1,1,0,0,
256,Union of Soviet Socialist Republics,USSR,URS,,Europe,1,1,0,0,
257,Democratic Republic of Vietnam,North Vietnam,NVI,,Asia,0,1,0,0,
258,Republic of Vietnam,South Vietnam,SVI,,Asia,0,1,0,0,
259,Yemen Arab Republic,North Yemen,YAR,,Asia,0,1,0,0,
260,People's Democratic Republic of Yemen,South Yemen,SYE,,Asia,0,1,0,0,
261,Yugoslavia,Yugoslavia,YUG,,Europe,1,1,0,0,
262,Bonaire,Bonaire,BON,,North America,1,0,1,0,
263,Bougainville,Bougainville,BOU,,Oceania,0,0,0,0,
264,No Country - Europe,N/A,EUR,,Europe,0,0,0,0,
265,No Country - South America,N/A,AMS,,South America,0,0,0,0,
